,title,button_name,button_url
0,,장학금,http://127.0.0.1/scholarship/
1,장학금,교내장학금,http://127.0.0.1/scholarship/inside/
2,장학금,교외장학금,http://127.0.0.1/scholarship/outside/
3,교내장학금,신입생장학금,http://127.0.0.1/scholarship/inside/new/
4,교내장학금,재학생장학금,http://127.0.0.1/scholarship/inside/enrolled/
5,교외장학금,월곡주얼리장학생,http://127.0.0.1/scholarship/outside/test/
6,재학생장학금,명예장학,http://127.0.0.1/scholarship/inside/enrolled/honer/
7,재학생장학금,비사장학금,http://127.0.0.1/scholarship/inside/enrolled/bisa/
8,재학생장학금,학기성적우수장학금,http://127.0.0.1/scholarship/inside/enrolled/score/
9,재학생장학금,면학장학금,http://127.0.0.1/scholarship/inside/enrolled/study/
10,재학생장학금,저소득층자녀장학금,http://127.0.0.1/scholarship/inside/enrolled/low-income/
11,저소득층자녀장학금,계명행복기초장학금,http://127.0.0.1/scholarship/inside/enrolled/low-income/happy_basic/
12,저소득층자녀장학금,계명행복우수장학금,http://127.0.0.1/scholarship/inside/enrolled/low-income/happy_exam/
13,재학생장학금,특기장학금,http://127.0.0.1/scholarship/inside/enrolled/talent/
14,재학생장학금,보훈장학금,http://127.0.0.1/scholarship/inside/enrolled/veteran/
15,재학생장학금,계명복지장학금,http://127.0.0.1/scholarship/inside/enrolled/welfare/
16,재학생장학금,봉사장학금,http://127.0.0.1/scholarship/inside/enrolled/service/
17,재학생장학금,교내근로장학금,http://127.0.0.1/scholarship/inside/enrolled/work/
18,재학생장학금,채플장학금,http://127.0.0.1/scholarship/inside/enrolled/chapel/
19,재학생장학금,국가고시장학금,http://127.0.0.1/scholarship/inside/enrolled/national_exam/
20,재학생장학금,목사자녀장학금,http://127.0.0.1/scholarship/inside/enrolled/pastor/
21,재학생장학금,다자녀장학금,http://127.0.0.1/scholarship/inside/enrolled/many_children/
22,재학생장학금,특별외국어성적장학금,http://127.0.0.1/scholarship/inside/enrolled/foreign_lang_score/
23,재학생장학금,총장특별장학금,http://127.0.0.1/scholarship/inside/enrolled/president/
24,재학생장학금,사랑나눔장학금,http://127.0.0.1/scholarship/inside/enrolled/disability/
25,재학생장학금,장애학생도우미장학금,http://127.0.0.1/scholarship/inside/enrolled/disabled_student_helper/
26,재학생장학금,국가장학금,http://127.0.0.1/scholarship/inside/enrolled/nation/
27,국가장학금,국가장학금 1유형,http://127.0.0.1/scholarship/inside/enrolled/nation/1/
28,국가장학금,국가장학금 2유형,http://127.0.0.1/scholarship/inside/enrolled/nation/2/
29,명예장학,명예장학 선발기준,http://127.0.0.1/scholarship/inside/enrolled/honer/requirement/
30,명예장학,명예장학 장학혜택,http://127.0.0.1/scholarship/inside/enrolled/honer/advantage/
31,비사장학금,비사장학금 선발기준,http://127.0.0.1/scholarship/inside/enrolled/bisa/requirement/
32,비사장학금,비사장학금 장학혜택,http://127.0.0.1/scholarship/inside/enrolled/bisa/advantage/
33,학기성적우수장학금,학기성적우수장학금 선발기준,http://127.0.0.1/scholarship/inside/enrolled/score/requirement/
34,학기성적우수장학금,학기성적우수장학금 장학혜택,http://127.0.0.1/scholarship/inside/enrolled/score/advantage/
35,면학장학금,면학장학금 선발기준,http://127.0.0.1/scholarship/inside/enrolled/study/requirement/
36,면학장학금,면학장학금 장학혜택,http://127.0.0.1/scholarship/inside/enrolled/study/advantage/
37,면학장학금,면학장학금 제출서류,http://127.0.0.1/scholarship/inside/enrolled/study/document/
38,계명행복기초장학금,계명행복기초장학금 선발기준,http://127.0.0.1/scholarship/inside/enrolled/low-income/happy_basic/requirement/
39,계명행복기초장학금,계명행복기초장학금 장학혜택,http://127.0.0.1/scholarship/inside/enrolled/low-income/happy_basic/advantage/
40,계명행복기초장학금,계명행복기초장학금 제출서류,http://127.0.0.1/scholarship/inside/enrolled/low-income/happy_basic/document/
41,계명행복우수장학금,계명행복우수장학금 선발기준,http://127.0.0.1/scholarship/inside/enrolled/low-income/happy_exam/requirement/
42,계명행복우수장학금,계명행복우수장학금 장학혜택,http://127.0.0.1/scholarship/inside/enrolled/low-income/happy_exam/advantage/
43,계명행복우수장학금,계명행복우수장학금 제출서류,http://127.0.0.1/scholarship/inside/enrolled/low-income/happy_exam/document/
44,특기장학금,특기장학금 선발기준,http://127.0.0.1/scholarship/inside/enrolled/talent/requirement/
45,특기장학금,특기장학금 장학혜택,http://127.0.0.1/scholarship/inside/enrolled/talent/advantage/
46,특기장학금,특기장학금 제출서류,http://127.0.0.1/scholarship/inside/enrolled/talent/document/
47,보훈장학금,보훈장학금 선발기준,http://127.0.0.1/scholarship/inside/enrolled/veteran/requirement/
48,보훈장학금,보훈장학금 장학혜택,http://127.0.0.1/scholarship/inside/enrolled/veteran/advantage/
49,보훈장학금,보훈장학금 제출서류,http://127.0.0.1/scholarship/inside/enrolled/veteran/document/
50,계명복지장학금,계명복지장학금 선발기준,http://127.0.0.1/scholarship/inside/enrolled/welfare/requirement/
51,계명복지장학금,계명복지장학금 장학혜택,http://127.0.0.1/scholarship/inside/enrolled/welfare/advantage/
52,계명복지장학금,계명복지장학금 제출서류,http://127.0.0.1/scholarship/inside/enrolled/welfare/document/
53,봉사장학금,봉사장학금 선발기준,http://127.0.0.1/scholarship/inside/enrolled/service/requirement/
54,봉사장학금,봉사장학금 장학혜택,http://127.0.0.1/scholarship/inside/enrolled/service/advantage/
55,교내근로장학금,교내근로장학금 선발기준,http://127.0.0.1/scholarship/inside/enrolled/work/requirement/
56,교내근로장학금,교내근로장학금 장학혜택,http://127.0.0.1/scholarship/inside/enrolled/work/advantage/
57,교내근로장학금,교내근로장학금 제출서류,http://127.0.0.1/scholarship/inside/enrolled/work/document/
58,채플장학금,채플장학금 선발기준,http://127.0.0.1/scholarship/inside/enrolled/chapel/requirement/
59,채플장학금,채플장학금 장학혜택,http://127.0.0.1/scholarship/inside/enrolled/chapel/advantage/
60,국가고시장학금,국가고시장학금 선발기준,http://127.0.0.1/scholarship/inside/enrolled/national_exam/requirement/
61,국가고시장학금,국가고시장학금 장학혜택,http://127.0.0.1/scholarship/inside/enrolled/national_exam/advantage/
62,국가고시장학금,국가고시장학금 제출서류,http://127.0.0.1/scholarship/inside/enrolled/national_exam/document/
63,목사자녀장학금,목사자녀장학금 선발기준,http://127.0.0.1/scholarship/inside/enrolled/pastor/requirement/
64,목사자녀장학금,목사자녀장학금 장학혜택,http://127.0.0.1/scholarship/inside/enrolled/pastor/advantage/
65,목사자녀장학금,목사자녀장학금 제출서류,http://127.0.0.1/scholarship/inside/enrolled/pastor/document/
66,다자녀장학금,다자녀장학금 선발기준,http://127.0.0.1/scholarship/inside/enrolled/many_children/requirement/
67,다자녀장학금,다자녀장학금 장학혜택,http://127.0.0.1/scholarship/inside/enrolled/many_children/advantage/
68,다자녀장학금,다자녀장학금 제출서류,http://127.0.0.1/scholarship/inside/enrolled/many_children/document/
69,특별외국어성적장학금,특별외국어성적장학금 선발기준,http://127.0.0.1/scholarship/inside/enrolled/foreign_lang_score/requirement/
70,특별외국어성적장학금,특별외국어성적장학금 장학혜택,http://127.0.0.1/scholarship/inside/enrolled/foreign_lang_score/advantage/
71,특별외국어성적장학금,특별외국어성적장학금 제출서류,http://127.0.0.1/scholarship/inside/enrolled/foreign_lang_score/document/
72,총장특별장학금,총장특별장학금 선발기준,http://127.0.0.1/scholarship/inside/enrolled/president/requirement/
73,총장특별장학금,총장특별장학금 장학혜택,http://127.0.0.1/scholarship/inside/enrolled/president/advantage/
74,사랑나눔장학금,사랑나눔장학금 선발기준,http://127.0.0.1/scholarship/inside/enrolled/disability/requirement/
75,사랑나눔장학금,사랑나눔장학금 장학혜택,http://127.0.0.1/scholarship/inside/enrolled/disability/advantage/
76,사랑나눔장학금,사랑나눔장학금 제출서류,http://127.0.0.1/scholarship/inside/enrolled/disability/document/
77,장애학생도우미장학금,장애학생도우미장학금 선발기준,http://127.0.0.1/scholarship/inside/enrolled/disabled_student_helper/requirement/
78,장애학생도우미장학금,장애학생도우미장학금 장학혜택,http://127.0.0.1/scholarship/inside/enrolled/disabled_student_helper/advantage/
79,장애학생도우미장학금,장애학생도우미장학금 제출서류,http://127.0.0.1/scholarship/inside/enrolled/disabled_student_helper/document/
80,국가장학금 1유형,국가장학금 1유형 선발기준,http://127.0.0.1/scholarship/inside/enrolled/nation/1/requirement/
81,국가장학금 1유형,국가장학금 1유형 장학혜택,http://127.0.0.1/scholarship/inside/enrolled/nation/1/advantage/
82,국가장학금 1유형,국가장학금 1유형 제출서류,http://127.0.0.1/scholarship/inside/enrolled/nation/1/document/
83,국가장학금 2유형,국가장학금 2유형 선발기준,http://127.0.0.1/scholarship/inside/enrolled/nation/2/requirement/
84,국가장학금 2유형,국가장학금 2유형 장학혜택,http://127.0.0.1/scholarship/inside/enrolled/nation/2/advantage/
85,국가장학금 2유형,국가장학금 2유형 제출서류,http://127.0.0.1/scholarship/inside/enrolled/nation/2/document/
29,월곡주얼리장학생,사이트로 이동,https://www.kmu.ac.kr/uni/main/page.jsp?pageNo=1&pagePrvNxt=1&pageRef=207111&pageOrder=0&cmd=2&parm_bod_uid=207111&srchVoteType=-1&srchKeyword=%EC%9B%94%EA%B3%A1&srchEnable=1&srchBgpUid=-1&srchSDate=&srchColumn=bod_title&srchEDate=&mnu_uid=145&/
